model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,wrong_flip,39,0.2564102564102564,0.02564102564102564,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.003
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,nl_binary_score,signed_ccc,39,-0.1282051282051282,0.15384615384615385,-0.28205128205128205,-0.46217948717948715,-0.10256410256410256,0.998
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,39,0.38461538461538464,0.4358974358974359,-0.05128205128205128,-0.23076923076923078,0.1282051282051282,0.778
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,39,0.1282051282051282,0.20512820512820512,-0.07692307692307693,-0.1794871794871795,0.02564102564102564,0.955
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,39,0.2564102564102564,0.23076923076923078,0.02564102564102564,-0.10256410256410256,0.15384615384615385,0.413
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,39,-0.1282051282051282,-0.02564102564102564,-0.10256410256410256,-0.28205128205128205,0.07692307692307693,0.902
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,39,0.4358974358974359,0.20512820512820512,0.23076923076923078,0.02564102564102564,0.41025641025641024,0.012
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,scca,39,0.20512820512820512,0.1794871794871795,0.02564102564102564,-0.10256410256410256,0.15384615384615385,0.43
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,39,0.23076923076923078,0.02564102564102564,0.20512820512820512,0.05128205128205128,0.358974358974359,0.007
qwen3_4b,Qwen3-4B,det-counterfactual,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,39,-0.02564102564102564,0.15384615384615385,-0.1794871794871795,-0.38461538461538464,0.02564102564102564,0.965
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,nl_binary_score,strict_ccc,464,0.3620689655172414,0.33189655172413796,0.03017241379310345,-0.021605603448275862,0.08405172413793104,0.129
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,nl_binary_score,scca,464,0.15732758620689655,0.16810344827586207,-0.010775862068965518,-0.04741379310344827,0.023706896551724137,0.747
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,nl_binary_score,wrong_flip,464,0.20474137931034483,0.16379310344827586,0.040948275862068964,-0.004310344827586207,0.08405172413793104,0.041
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,nl_binary_score,signed_ccc,464,-0.04741379310344827,0.004310344827586207,-0.05172413793103448,-0.11212284482758621,0.004310344827586207,0.967
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,464,0.3620689655172414,0.23275862068965517,0.12931034482758622,0.07543103448275862,0.18318965517241378,0.0
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,464,0.15732758620689655,0.04525862068965517,0.11206896551724138,0.07974137931034483,0.14439655172413793,0.0
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,464,0.20474137931034483,0.1875,0.017241379310344827,-0.028017241379310345,0.0625,0.263
qwen3_4b,Qwen3-4B,ett,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,464,-0.04741379310344827,-0.14224137931034483,0.09482758620689655,0.040948275862068964,0.15517241379310345,0.003
qwen3_4b,Qwen3-4B,ett,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,464,0.23275862068965517,0.33189655172413796,-0.09913793103448276,-0.15517241379310345,-0.043049568965517294,1.0
qwen3_4b,Qwen3-4B,ett,symbolic_shuffled_binary_score,nl_binary_score,scca,464,0.04525862068965517,0.16810344827586207,-0.12284482758620689,-0.16163793103448276,-0.08399784482758625,1.0
qwen3_4b,Qwen3-4B,ett,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,464,0.1875,0.16379310344827586,0.023706896551724137,-0.01293103448275862,0.0603448275862069,0.093
qwen3_4b,Qwen3-4B,ett,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,464,-0.14224137931034483,0.004310344827586207,-0.14655172413793102,-0.1961206896551724,-0.09267241379310345,1.0
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,nl_binary_score,strict_ccc,413,0.48184019370460046,0.4358353510895884,0.04600484261501211,-0.007324455205811135,0.10411622276029056,0.055
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,nl_binary_score,scca,413,0.3099273607748184,0.2639225181598063,0.04600484261501211,0.0,0.08958837772397095,0.035
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,nl_binary_score,wrong_flip,413,0.17191283292978207,0.17191283292978207,0.0,-0.03631961259079903,0.03631961259079903,0.522
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,nl_binary_score,signed_ccc,413,0.13801452784503632,0.09200968523002422,0.04600484261501211,-0.014527845036319613,0.1065980629539951,0.076
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,413,0.48184019370460046,0.22518159806295399,0.2566585956416465,0.2009685230024213,0.3099273607748184,0.0
qwen3_4b,Qwen3-4B,marginal,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,413,0.3099273607748184,0.14043583535108958,0.1694915254237288,0.12590799031476999,0.21313559322033893,0.0
