eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,45,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,872,0.6043577981651376,1.0
control_cv,45,qwen3_4b,Qwen3-4B,query_router,Query Router,872,0.5951834862385321,0.47591743119266056
control_cv,45,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,872,0.606651376146789,0.5286697247706422
control_cv,46,qwen3_4b,Qwen3-4B,always_nl,Always NL,916,0.5796943231441049,0.0
control_cv,46,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,916,0.5927947598253275,1.0
control_cv,46,qwen3_4b,Qwen3-4B,query_router,Query Router,916,0.5851528384279476,0.40502183406113534
control_cv,46,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,916,0.5949781659388647,0.6331877729257642
control_cv,47,qwen3_4b,Qwen3-4B,always_nl,Always NL,1063,0.5898400752587017,0.0
control_cv,47,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1063,0.599247412982126,1.0
control_cv,47,qwen3_4b,Qwen3-4B,query_router,Query Router,1063,0.5945437441204139,0.47507055503292567
control_cv,47,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1063,0.6067732831608654,0.5315145813734713
control_cv,48,qwen3_4b,Qwen3-4B,always_nl,Always NL,1005,0.6079601990049751,0.0
control_cv,48,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1005,0.5980099502487563,1.0
control_cv,48,qwen3_4b,Qwen3-4B,query_router,Query Router,1005,0.5930348258706468,0.6388059701492538
control_cv,48,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1005,0.6069651741293532,0.5164179104477612
control_cv,49,qwen3_4b,Qwen3-4B,always_nl,Always NL,1131,0.5623342175066313,0.0
control_cv,49,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1131,0.579133510167993,1.0
control_cv,49,qwen3_4b,Qwen3-4B,query_router,Query Router,1131,0.5764809902740937,0.34924845269672855
control_cv,49,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1131,0.5755968169761273,0.3041556145004421
control_cv,50,qwen3_4b,Qwen3-4B,always_nl,Always NL,1055,0.5800947867298578,0.0
control_cv,50,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1055,0.5924170616113744,1.0
control_cv,50,qwen3_4b,Qwen3-4B,query_router,Query Router,1055,0.5914691943127962,0.6436018957345971
control_cv,50,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1055,0.5990521327014218,0.6303317535545023
control_cv,51,qwen3_4b,Qwen3-4B,always_nl,Always NL,1053,0.553656220322887,0.0
control_cv,51,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1053,0.5764482431149098,1.0
control_cv,51,qwen3_4b,Qwen3-4B,query_router,Query Router,1053,0.5565052231718899,0.2526115859449193
control_cv,51,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1053,0.5726495726495726,0.4036087369420703
control_cv,52,qwen3_4b,Qwen3-4B,always_nl,Always NL,1139,0.5899912203687445,0.0
control_cv,52,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1139,0.6136962247585601,1.0
control_cv,52,qwen3_4b,Qwen3-4B,query_router,Query Router,1139,0.6014047410008779,0.4986830553116769
control_cv,52,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1139,0.6040386303775241,0.46005267778753295
control_cv,53,qwen3_4b,Qwen3-4B,always_nl,Always NL,1023,0.5894428152492669,0.0
control_cv,53,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1023,0.5982404692082112,1.0
control_cv,53,qwen3_4b,Qwen3-4B,query_router,Query Router,1023,0.5894428152492669,0.6392961876832844
