eval_set,model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate,split
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1750,1750,0.47828571428571426,0.3171428571428571,0.16114285714285714,0.1782857142857143,0.3434285714285714,0.3171428571428571,0.15599999999999997,0.0,7
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1750,1750,0.40514285714285714,0.28285714285714286,0.12228571428571429,0.24971428571428572,0.34514285714285714,0.28285714285714286,0.1605714285714286,0.0,7
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1750,1750,0.41942857142857143,0.30114285714285716,0.11828571428571429,0.22742857142857142,0.35314285714285715,0.30114285714285716,0.18285714285714288,0.0,7
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1656,1656,0.4365942028985507,0.3677536231884058,0.06884057971014493,0.2143719806763285,0.34903381642512077,0.3677536231884058,0.29891304347826086,0.0,8
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1656,1656,0.5489130434782609,0.411231884057971,0.13768115942028986,0.10748792270531402,0.34359903381642515,0.411231884057971,0.27355072463768115,0.0,8
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1656,1656,0.483695652173913,0.3882850241545894,0.09541062801932366,0.16968599033816426,0.3466183574879227,0.3882850241545894,0.2928743961352657,0.0,8
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1656,1656,0.46195652173913043,0.3665458937198068,0.09541062801932366,0.1956521739130435,0.3423913043478261,0.3665458937198068,0.27113526570048313,0.0,8
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1782,1782,0.36307519640852975,0.23176206509539843,0.13131313131313133,0.2143658810325477,0.4225589225589226,0.23176206509539843,0.1004489337822671,0.0,9
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1782,1782,0.4696969696969697,0.2828282828282828,0.18686868686868688,0.13973063973063973,0.39057239057239057,0.2828282828282828,0.09595959595959594,0.0,9
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1782,1782,0.40404040404040403,0.26430976430976433,0.13973063973063973,0.18911335578002245,0.4068462401795735,0.26430976430976433,0.1245791245791246,0.0,9
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1782,1782,0.4382716049382716,0.2760942760942761,0.16217732884399552,0.15937149270482603,0.40235690235690236,0.2760942760942761,0.11391694725028059,0.0,9
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1632,1632,0.3627450980392157,0.22549019607843138,0.13725490196078433,0.28921568627450983,0.3480392156862745,0.22549019607843138,0.08823529411764705,0.0,10
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1632,1632,0.46262254901960786,0.26776960784313725,0.1948529411764706,0.16727941176470587,0.3700980392156863,0.26776960784313725,0.07291666666666666,0.0,10
